close_dollar,close,high_dollar,high,low_dollar,low,open_dollar,open,change_over_time,change_over_time_s,u_open,u_open_dollar,u_close,u_close_dollar,u_high,u_high_dollar,u_low,u_low_dollar,u_volume,change_percent,change_percent_s,volume,date,label,change
$358.89 ,358.892,$360.17 ,360.17,$354.84 ,354.84,$356.78 ,356.78,1.004647266,1.00%,356.78,$356.78 ,358.892,$358.89 ,360.17,$360.17 ,354.84,$354.84 ,2007275,0.0004,0.00%,2007275,11/5/13,5-Nov-13,0.152
$356.18 ,356.18,$362.87 ,362.87,$354.50 ,354.5,$360.45 ,360.45,0.989498967,0.99%,360.45,$360.45 ,356.18,$356.18 ,362.87,$362.87 ,354.5,$354.50 ,2288077,-0.0076,-0.01%,2288077,11/6/13,6-Nov-13,-2.712
$343.56 ,343.56,$357.90 ,357.9,$341.88 ,341.88,$357.65 ,357.65,0.919007987,0.92%,357.65,$357.65 ,343.56,$343.56 ,357.9,$357.90 ,341.88,$341.88 ,4250065,-0.0354,-0.04%,4250065,11/7/13,7-Nov-13,-12.62
$350.31 ,350.31,$351.05 ,351.05,$344.04 ,344.04,$345.95 ,345.95,0.956711166,0.96%,345.95,$345.95 ,350.31,$350.31 ,351.05,$351.05 ,344.04,$344.04 ,2656865,0.0196,0.02%,2656865,11/8/13,8-Nov-13,6.75
$354.38 ,354.378,$355.37 ,355.37,$348.06 ,348.06,$350.59 ,350.59,0.979433614,0.98%,350.59,$350.59 ,354.378,$354.38 ,355.37,$355.37 ,348.06,$348.06 ,2262538,0.0116,0.01%,2262538,11/11/13,11-Nov-13,4.068
$349.53 ,349.53,$355.48 ,355.4826,$347.28 ,347.282,$352.99 ,352.99,0.952354354,0.95%,352.99,$352.99 ,349.53,$349.53 ,355.4826,$355.48 ,347.282,$347.28 ,2344304,-0.0137,-0.01%,2344304,11/12/13,12-Nov-13,-4.848
$356.22 ,356.22,$356.22 ,356.22,$345.68 ,345.68,$347.40 ,347.4,0.989722393,0.99%,347.4,$347.40 ,356.22,$356.22 ,356.22,$356.22 ,345.68,$345.68 ,2777832,0.0191,0.02%,2777832,11/13/13,13-Nov-13,6.69
$367.40 ,367.396,$368.94 ,368.94,$356.43 ,356.43,$357.39 ,357.39,1.052147685,1.05%,357.39,$357.39 ,367.396,$367.40 ,368.94,$368.94 ,356.43,$356.43 ,4164128,0.0314,0.03%,4164128,11/14/13,14-Nov-13,11.176
$369.17 ,369.17,$372.90 ,372.9,$365.55 ,365.55,$367.63 ,367.63,1.062056639,1.06%,367.63,$367.63 ,369.17,$369.17 ,372.9,$372.90 ,365.55,$365.55 ,4494773,0.0048,0.00%,4494773,11/15/13,15-Nov-13,1.774
$366.18 ,366.18,$373.49 ,373.49,$364.67 ,364.67,$370.28 ,370.28,1.045355527,1.05%,370.28,$370.28 ,366.18,$366.18 ,373.49,$373.49 ,364.67,$364.67 ,2738214,-0.0081,-0.01%,2738214,11/18/13,18-Nov-13,-2.99
$364.94 ,364.94,$368.78 ,368.78,$362.50 ,362.5,$365.82 ,365.82,1.038429314,1.04%,365.82,$365.82 ,364.94,$364.94 ,368.78,$368.78 ,362.5,$362.50 ,1904797,-0.0034,0.00%,1904797,11/19/13,19-Nov-13,-1.24
$362.57 ,362.57,$367.56 ,367.56,$360.45 ,360.45,$367.56 ,367.56,1.025191309,1.03%,367.56,$367.56 ,362.57,$362.57 ,367.56,$367.56 ,360.45,$360.45 ,1772984,-0.0065,-0.01%,1772984,11/20/13,20-Nov-13,-2.37
$368.92 ,368.92,$369.25 ,369.25,$363.30 ,363.3,$364.00 ,364,1.060660225,1.06%,364,$364.00 ,368.92,$368.92 ,369.25,$369.25 ,363.3,$363.30 ,1967041,0.0175,0.02%,1967041,11/21/13,21-Nov-13,6.35
$372.31 ,372.31,$374.50 ,374.5,$366.31 ,366.31,$370.00 ,370,1.079595599,1.08%,370,$370.00 ,372.31,$372.31 ,374.5,$374.50 ,366.31,$366.31 ,2967833,0.0092,0.01%,2967833,11/22/13,22-Nov-13,3.39
$376.64 ,376.64,$377.79 ,377.79,$373.18 ,373.18,$373.82 ,373.82,1.103781489,1.10%,373.82,$373.82 ,376.64,$376.64 ,377.79,$377.79 ,373.18,$373.18 ,2972546,0.0116,0.01%,2972546,11/25/13,25-Nov-13,4.33
$381.37 ,381.37,$382.50 ,382.5,$374.82 ,374.8175,$377.61 ,377.61,1.130201642,1.13%,377.61,$377.61 ,381.37,$381.37 ,382.5,$382.50 ,374.8175,$374.82 ,2730689,0.0126,0.01%,2730689,11/26/13,26-Nov-13,4.73
$386.71 ,386.71,$387.00 ,387,$382.61 ,382.611,$383.50 ,383.5,1.160029045,1.16%,383.5,$383.50 ,386.71,$386.71 ,387,$387.00 ,382.611,$382.61 ,2269656,0.014,0.01%,2269656,11/27/13,27-Nov-13,5.34
$386.71 ,386.71,$387.00 ,387,$382.61 ,382.611,$383.50 ,383.5,1.160029045,1.16%,383.5,$383.50 ,386.71,$386.71 ,387,$387.00 ,382.611,$382.61 ,2269656,0,0.00%,2269656,11/29/13,29-Nov-13,0
